epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,585.678,2.22179,1.54788,1.17519,0.40936,0.14902,0.24376,0.12186,2.09886,1.58551,1.14675,6.997e-05,6.997e-05,6.997e-05
93,592.261,2.15247,1.54651,1.21161,0.41334,0.14953,0.24572,0.12225,2.1016,1.58079,1.14799,6.964e-05,6.964e-05,6.964e-05
94,598.739,2.08749,1.51151,1.20506,0.41334,0.14953,0.24572,0.12225,2.1016,1.58079,1.14799,6.931e-05,6.931e-05,6.931e-05
95,604.898,2.10301,1.51239,1.2167,0.41025,0.14513,0.24271,0.11986,2.10439,1.57813,1.14988,6.898e-05,6.898e-05,6.898e-05
96,611.299,2.1458,1.52702,1.19797,0.41025,0.14513,0.24271,0.11986,2.10439,1.57813,1.14988,6.865e-05,6.865e-05,6.865e-05
97,617.896,2.1042,1.53637,1.21474,0.4132,0.14443,0.24416,0.11982,2.11034,1.56876,1.15293,6.832e-05,6.832e-05,6.832e-05
98,624.482,2.18409,1.53852,1.19813,0.4132,0.14443,0.24416,0.11982,2.11034,1.56876,1.15293,6.799e-05,6.799e-05,6.799e-05
99,630.565,2.18386,1.54266,1.22131,0.4132,0.14443,0.24416,0.11982,2.11034,1.56876,1.15293,6.766e-05,6.766e-05,6.766e-05
100,637.167,2.10777,1.50533,1.21679,0.41561,0.14696,0.24835,0.12209,2.11079,1.55284,1.15205,6.733e-05,6.733e-05,6.733e-05
101,643.613,2.08005,1.47969,1.21768,0.41561,0.14696,0.24835,0.12209,2.11079,1.55284,1.15205,6.7e-05,6.7e-05,6.7e-05
102,650.135,2.11758,1.48255,1.18207,0.42461,0.1474,0.25303,0.12184,2.11677,1.55332,1.15448,6.667e-05,6.667e-05,6.667e-05
103,656.669,2.18053,1.53394,1.19047,0.42461,0.1474,0.25303,0.12184,2.11677,1.55332,1.15448,6.634e-05,6.634e-05,6.634e-05
104,662.96,2.1024,1.52409,1.25095,0.40965,0.14046,0.24259,0.1195,2.11975,1.56534,1.15352,6.601e-05,6.601e-05,6.601e-05
105,669.414,2.13556,1.51228,1.212,0.40965,0.14046,0.24259,0.1195,2.11975,1.56534,1.15352,6.568e-05,6.568e-05,6.568e-05
106,675.734,2.20141,1.52872,1.17517,0.40609,0.1399,0.24135,0.11935,2.11374,1.56891,1.14829,6.535e-05,6.535e-05,6.535e-05
107,682.206,2.12737,1.47635,1.18071,0.40609,0.1399,0.24135,0.11935,2.11374,1.56891,1.14829,6.502e-05,6.502e-05,6.502e-05
108,688.529,2.09484,1.47406,1.19574,0.40609,0.1399,0.24135,0.11935,2.11374,1.56891,1.14829,6.469e-05,6.469e-05,6.469e-05
109,694.803,2.07475,1.47912,1.2167,0.41429,0.14024,0.24474,0.12045,2.11771,1.5741,1.15101,6.436e-05,6.436e-05,6.436e-05
110,701.096,2.10164,1.49986,1.23482,0.41429,0.14024,0.24474,0.12045,2.11771,1.5741,1.15101,6.403e-05,6.403e-05,6.403e-05
111,707.452,2.12337,1.48592,1.20044,0.41663,0.13965,0.24562,0.1215,2.11379,1.58137,1.14991,6.37e-05,6.37e-05,6.37e-05
112,714.064,2.14529,1.49717,1.18379,0.41663,0.13965,0.24562,0.1215,2.11379,1.58137,1.14991,6.337e-05,6.337e-05,6.337e-05
113,720.569,2.16269,1.4984,1.1619,0.41541,0.14011,0.24397,0.12032,2.11098,1.5916,1.14828,6.304e-05,6.304e-05,6.304e-05
114,727.11,2.15182,1.49744,1.193,0.41541,0.14011,0.24397,0.12032,2.11098,1.5916,1.14828,6.271e-05,6.271e-05,6.271e-05
115,733.257,2.09668,1.47915,1.21234,0.41541,0.14011,0.24397,0.12032,2.11098,1.5916,1.14828,6.238e-05,6.238e-05,6.238e-05
